Composer,Performer,Perf_Nationality,Perf_Gender,Piece,Length,Tempo,Time_Signature,Freq_C,Freq_C#/Db,Freq_D,Freq_D#/Eb,Freq_E,Freq_F,Freq_F#/Gb,Freq_G,Freq_G#/Ab,Freq_A,Freq_A#/Bb,Freq_B,Unique_Velocities,Average_Velocity,Min_Velocity,Max_Velocity
Albeniz,JieChen,China,F,TrianaFromIberia,299,215,4/4,0.07603,0.14623,0.09113,0.02358,0.09748,0.06623,0.12477,0.03364,0.12954,0.09272,0.03709,0.08159,109,64.54,6,118
Albeniz,InesaSinkevych,Israel,F,TrianaFromIberia,261,210,4/4,0.0743,0.14861,0.09314,0.02451,0.09933,0.06682,0.12023,0.03612,0.12822,0.09056,0.03689,0.08127,100,70.56,6,108
Albeniz,AndrewStaupe,USA,M,EvocationsFromIberia,324,198,4/4,0.05186,0.10722,0.05676,0.11563,0.0918,0.06307,0.08479,0.08059,0.12964,0.03013,0.10652,0.08199,97,49.84,3,101
Albeniz,GregoryDeTurck,USA,M,RondenaFromIberia,412,187,4/4,0.07866,0.06898,0.14169,0.03821,0.1263,0.04392,0.08337,0.10521,0.04467,0.13201,0.06973,0.06725,116,67.68,3,119
Albeniz,GregoryDeTurck,USA,M,Iberia,1246,196,4/4,0.08401,0.08824,0.13191,0.03875,0.10197,0.06085,0.0848,0.10109,0.07221,0.09783,0.06041,0.07793,115,63.29,3,117
Albeniz,JieChen,China,F,EvocationAndTrianaFromIberia,671,215,4/4,0.06999,0.13726,0.08085,0.04924,0.09403,0.06592,0.11245,0.04653,0.13086,0.07522,0.05506,0.08259,108,59.5,6,116
Albiniz,ElmarGasanov,Russia,M,Asturias,309,216,4/4,0.06495,0.03853,0.46128,0.11853,0.00294,0.03193,0.04294,0.06422,0.00661,0.08697,0.0767,0.0044,106,67.37,2,121
Albiniz,ElmarGasanov,Russia,M,Navarra,338,201,4/4,0.09154,0.08274,0.04565,0.17023,0.05825,0.08702,0.05421,0.08654,0.13766,0.02853,0.10651,0.05112,114,73.47,3,118
Albiniz,ElmarGasanov,Russia,M,Tango,175,191,4/4,0.02168,0.11382,0.16712,0.01807,0.07498,0.03613,0.14905,0.07046,0.03884,0.17344,0.03613,0.10027,87,56.18,3,99
Babajanian,JieChen,China,F,PoemForPiano,315,203,4/4,0.08773,0.08034,0.08269,0.07227,0.08101,0.08269,0.06555,0.07899,0.07261,0.09916,0.10857,0.0884,109,64.5,6,119
